,Src,Dst,Weight,edge_type
8599,154,881,1,0
8665,341,1246,1,0
8676,172,878,1,0
8698,342,1072,1,0
8701,343,931,1,0
8703,344,1247,1,0
8869,78,1066,1,0
8890,25,941,1,0
8891,48,1013,1,0
8941,14,1248,1,0
8952,345,1249,1,0
8957,321,1250,1,0
9017,346,1251,1,0
9028,14,1252,1,0
9195,14,1253,1,0
9235,14,1254,1,0
9236,11,987,1,0
9238,347,1255,1,0
9256,14,1256,1,0
9271,238,1257,1,0
9287,348,1258,1,0
9298,349,1259,1,0
9315,14,1260,1,0
9341,214,1261,1,0
9344,14,1262,1,0
9371,350,1263,1,0
9560,351,1264,1,0
9753,50,1265,1,0
9758,352,1226,1,0
9784,2,1266,1,0
9802,353,1267,1,0
9811,2,1268,1,0
9831,354,945,1,0
9845,83,1028,1,0
9848,355,1269,1,0
9850,249,1145,1,0
9883,53,941,1,0
9890,53,1086,1,0
9921,356,1247,1,0
9925,357,1247,1,0
10101,358,930,1,0
10145,359,1270,1,0
10148,360,1271,1,0
10152,2,1272,1,0
10612,361,1226,1,0
10780,64,1273,1,0
10796,55,913,1,0
10802,362,1015,1,0
10953,322,1046,1,0
11110,79,1109,1,0
11259,192,1274,1,0
11284,363,930,1,0
11296,131,1067,1,0
11591,364,923,1,0
12100,195,1055,1,0
12101,128,1275,1,0
12122,365,1276,1,0
12126,151,1053,1,0
12138,366,1030,1,0
12150,367,1277,1,0
12435,153,1053,1,0
12574,99,1067,1,0
13331,2,1278,1,0
13337,55,871,1,0
13339,368,1279,1,0
13353,342,931,1,0
13522,14,1280,1,0
13704,203,1281,1,0
13863,369,1263,1,0
14057,49,1282,1,0
14070,370,1283,1,0
14114,371,1284,1,0
14283,372,1285,1,0
14446,373,1286,1,0
14451,374,1287,1,0
14609,344,1288,1,0
14647,353,1289,1,0
14681,53,871,1,0
14709,375,1226,1,0
14759,376,979,1,0
14783,377,1250,1,0
14789,144,1146,1,0
14792,142,1146,1,0
14807,107,1290,1,0
14960,14,1291,1,0
15156,177,1292,1,0
15182,172,1072,1,0
15405,378,985,1,0
15406,379,1293,1,0
15407,380,1294,1,0
15596,340,943,1,0
15597,78,1072,1,0
15613,85,1295,1,0
15618,358,1072,1,0
15623,343,1072,1,0
15626,322,1296,1,0
15630,113,1072,1,0
15631,53,1296,1,0
15638,381,1246,1,0
15681,319,1072,1,0
15687,174,923,1,0
15703,382,1036,1,0
17682,383,1297,1,0
17687,124,1012,1,0
17690,352,1298,1,0
17703,384,1298,1,0
18316,315,1222,1,0
18401,11,994,1,0
18428,362,1299,1,0
18431,130,1299,1,0
18587,385,1300,1,0
18598,344,1301,1,0
18774,386,1302,1,0
18924,387,1303,1,0
18925,388,1303,1,0
