,Src,Dst,Weight,edge_type
1190,116,4890,1,0
1191,116,5273,1,0
1192,445,4878,1,0
1193,446,5123,1,0
1194,348,5015,1,0
1195,447,5239,1,0
1196,409,5014,1,0
1197,116,5274,1,0
1199,448,5172,1,0
1200,332,5275,1,0
1201,116,5276,1,0
1202,116,5168,1,0
1204,116,5171,1,0
1205,116,5034,1,0
1207,116,5277,1,0
1208,425,4904,1,0
1209,169,5239,1,0
1210,409,4904,1,0
1213,292,5278,1,0
1214,292,5279,1,0
1215,336,5080,1,0
1216,449,5139,1,0
1217,318,5119,1,0
1219,450,4861,1,0
1221,451,5170,1,0
1223,209,5069,1,0
1224,284,5137,1,0
1228,452,5170,1,0
1232,114,5280,1,0
1233,120,5281,1,0
1235,453,4878,1,0
1236,454,5231,1,0
1238,385,5030,1,0
1239,455,5282,1,0
1240,378,5192,1,0
1241,385,5188,1,0
1243,456,5170,1,0
1244,457,5004,1,0
1246,458,5283,1,0
1249,459,5170,1,0
1253,454,4901,1,0
1254,460,4861,1,0
1255,454,5014,1,0
1258,121,5284,1,0
1260,359,5079,1,0
1262,116,5285,1,0
1263,461,4878,1,0
1264,116,5280,1,0
1265,462,4878,1,0
1266,129,5046,1,0
1267,463,5070,1,0
1268,464,5286,1,0
1269,343,5080,1,0
1273,352,5287,1,0
1275,367,5288,1,0
1276,352,5289,1,0
1277,464,5290,1,0
1278,465,5046,1,0
1279,129,5291,1,0
1280,466,5292,1,0
1281,467,5196,1,0
1282,122,5293,1,0
1283,100,4884,1,0
1284,100,5294,1,0
1285,468,4984,1,0
1292,469,5050,1,0
1293,469,5072,1,0
1294,118,5295,1,0
1295,470,4992,1,0
1296,471,5296,1,0
1297,472,5297,1,0
1298,473,5298,1,0
1299,472,5246,1,0
1300,121,5295,1,0
1301,472,5299,1,0
1303,472,4899,1,0
1304,114,5107,1,0
1305,473,4875,1,0
1306,474,5170,1,0
1307,467,5300,1,0
1309,467,4891,1,0
1310,130,5301,1,0
1311,475,5062,1,0
1314,476,5302,1,0
1315,477,5260,1,0
1317,478,5303,1,0
1319,74,5304,1,0
1320,122,5305,1,0
1321,479,4884,1,0
1322,480,5305,1,0
1323,73,5306,1,0
1327,481,5007,1,0
1328,481,5307,1,0
1329,97,5308,1,0
1330,482,4860,1,0
1331,176,5309,1,0
1332,483,4912,1,0
1333,375,4950,1,0
1334,176,5183,1,0
1335,483,4891,1,0
1336,176,5307,1,0
1337,484,4950,1,0
1338,485,5310,1,0
1339,486,5289,1,0
1340,486,5287,1,0
1341,176,5072,1,0
1343,98,5084,1,0
1344,301,4859,1,0
1349,487,4871,1,0
1350,110,5311,1,0
1351,488,4880,1,0
1352,489,5312,1,0
1354,304,5313,1,0
1355,490,4878,1,0
1356,491,4861,1,0
1359,492,5166,1,0
1361,493,5166,1,0
1363,494,5166,1,0
1364,495,5314,1,0
1366,336,5188,1,0
1367,378,5139,1,0
1371,294,4970,1,0
1372,294,4980,1,0
1373,116,5315,1,0
1375,496,5316,1,0
1378,488,5154,1,0
1381,497,5170,1,0
1382,257,4992,1,0
1383,471,5047,1,0
1385,498,4992,1,0
1386,471,5317,1,0
1387,72,5318,1,0
1388,499,4973,1,0
1389,169,5293,1,0
1390,500,5319,1,0
1391,501,4992,1,0
1392,471,5143,1,0
1393,499,4995,1,0
1394,210,5079,1,0
